canonical_team,confederation
United States,CONCACAF
Mexico,CONCACAF
Canada,CONCACAF
Costa Rica,CONCACAF
Panama,CONCACAF
Argentina,CONMEBOL
Brazil,CONMEBOL
Uruguay,CONMEBOL
Colombia,CONMEBOL
Chile,CONMEBOL
England,UEFA
France,UEFA
Spain,UEFA
Germany,UEFA
Italy,UEFA
Portugal,UEFA
Netherlands,UEFA
Belgium,UEFA
Croatia,UEFA
Denmark,UEFA
Switzerland,UEFA
Serbia,UEFA
Poland,UEFA
Ghana,CAF
Nigeria,CAF
Senegal,CAF
Morocco,CAF
Egypt,CAF
South Africa,CAF
Japan,AFC
South Korea,AFC
Iran,AFC
Australia,AFC
Saudi Arabia,AFC
Qatar,AFC
New Zealand,OFC
