team_a,team_b,matches,team_a_wins,team_b_wins,draws,team_a_goal_diff
Abkhazia,Artsakh,1,0,0,1,0
Abkhazia,Chameria,2,1,0,1,2
Abkhazia,Sápmi,1,1,0,0,1
Abkhazia,Western Armenia,1,0,0,1,0
Afghanistan,Bangladesh,4,1,0,3,1
Afghanistan,Cambodia,1,0,0,1,0
Afghanistan,Hong Kong,1,0,1,0,-1
Afghanistan,India,5,1,1,3,0
Afghanistan,Indonesia,2,2,0,0,2
Afghanistan,Iran,1,0,1,0,-5
Afghanistan,Kuwait,2,0,2,0,-5
Afghanistan,Malaysia,1,0,1,0,-1
Afghanistan,Maldives,1,1,0,0,1
Afghanistan,Mongolia,2,2,0,0,2
Afghanistan,Myanmar,1,0,1,0,-1
Afghanistan,Nepal,1,0,1,0,-2
Afghanistan,Oman,2,0,2,0,-4
Afghanistan,Pakistan,4,0,2,2,-4
Afghanistan,Philippines,1,0,1,0,-1
Afghanistan,Qatar,4,0,3,1,-14
Afghanistan,Singapore,1,0,0,1,0
Afghanistan,Syria,1,0,1,0,-1
Afghanistan,Tajikistan,2,0,1,1,-2
Afghanistan,Thailand,1,0,1,0,-2
Afghanistan,Vietnam,1,0,1,0,-2
Albania,Andorra,6,5,0,1,9
Albania,Armenia,1,1,0,0,2
Albania,Azerbaijan,1,1,0,0,2
Albania,Belarus,2,2,0,0,3
Albania,Bulgaria,1,1,0,0,2
Albania,Chile,1,0,1,0,-3
Albania,Croatia,1,0,0,1,0
Albania,Czech Republic,5,1,2,2,-1
Albania,England,4,0,4,0,-11
Albania,Estonia,1,0,0,1,0
Albania,Faroe Islands,2,1,0,1,2
Albania,France,2,0,2,0,-5
Albania,Georgia,3,1,1,1,0
Albania,Gibraltar,1,1,0,0,1
Albania,Hungary,2,2,0,0,2
Albania,Iceland,4,1,1,2,1
Albania,Israel,3,0,3,0,-3
Albania,Italy,2,0,2,0,-3
Albania,Jordan,1,1,0,0,2
Albania,Kazakhstan,2,1,0,1,2
Albania,Kosovo,1,1,0,0,1
Albania,Latvia,2,1,0,1,1
Albania,Liechtenstein,1,1,0,0,3
Albania,Lithuania,2,0,1,1,-1
Albania,Luxembourg,1,0,1,0,-1
Albania,Moldova,4,3,0,1,8
Albania,Poland,5,1,4,0,-4
Albania,Qatar,1,0,1,0,-1
Albania,San Marino,2,2,0,0,7
Albania,Saudi Arabia,1,0,0,1,0
Albania,Serbia,2,1,0,1,1
Albania,Spain,2,0,2,0,-2
Albania,Sweden,1,0,1,0,-1
Albania,Turkey,2,0,2,0,-3
Albania,Ukraine,3,1,2,0,-1
Albania,Wales,1,0,0,1,0
Alderney,Guernsey,1,0,1,0,-2
Alderney,Hitra,1,0,1,0,-2
Alderney,Isle of Man,1,0,1,0,-5
Alderney,Jersey,2,0,2,0,-7
Alderney,Orkney,1,1,0,0,1
Algeria,Angola,1,0,0,1,0
Algeria,Argentina,1,0,1,0,-3
Algeria,Bahrain,1,1,0,0,4
Algeria,Benin,1,1,0,0,1
Algeria,Bolivia,2,2,0,0,5
Algeria,Botswana,4,4,0,0,10
Algeria,Burkina Faso,4,1,0,3,1
Algeria,Burundi,2,1,0,1,4
Algeria,Cameroon,2,1,1,0,0
Algeria,Cape Verde,1,1,0,0,4
Algeria,Colombia,1,1,0,0,3
Algeria,DR Congo,2,1,0,1,1
Algeria,Djibouti,2,2,0,0,12
Algeria,Egypt,2,0,0,2,0
Algeria,Equatorial Guinea,4,2,1,1,3
Algeria,Gambia,1,0,0,1,0
Algeria,Ghana,1,1,0,0,3
Algeria,Guatemala,1,1,0,0,7
Algeria,Guinea,4,2,1,1,3
Algeria,Iran,1,1,0,0,1
Algeria,Iraq,1,1,0,0,2
Algeria,Ivory Coast,2,0,1,1,-2
Algeria,Jordan,1,1,0,0,1
Algeria,Kenya,1,1,0,0,2
Algeria,Lebanon,1,1,0,0,2
Algeria,Liberia,3,3,0,0,11
Algeria,Mali,3,2,0,1,2
Algeria,Mauritania,2,1,1,0,2
Algeria,Mexico,1,0,0,1,0
Algeria,Morocco,1,0,0,1,0
Algeria,Mozambique,2,2,0,0,6
Algeria,Netherlands,1,1,0,0,1
Algeria,Niger,4,4,0,0,11
Algeria,Nigeria,4,3,1,0,1
Algeria,Qatar,1,1,0,0,1
Algeria,Rwanda,2,2,0,0,4
Algeria,Saudi Arabia,1,1,0,0,2
Algeria,Senegal,3,3,0,0,3
Algeria,Sierra Leone,1,0,0,1,0
Algeria,Somalia,2,2,0,0,5
Algeria,South Africa,1,0,0,1,0
Algeria,Sudan,3,2,0,1,7
Algeria,Sweden,2,0,2,0,-3
Algeria,Syria,1,1,0,0,1
Algeria,Tanzania,3,2,0,1,5
Algeria,Togo,3,3,0,0,8
Algeria,Tunisia,4,3,0,1,5
Algeria,Uganda,4,4,0,0,5
Algeria,United Arab Emirates,1,0,0,1,0
Algeria,Uruguay,1,0,0,1,0
Algeria,Zambia,2,1,0,1,5
Algeria,Zimbabwe,3,2,0,1,4
American Samoa,Fiji,1,0,1,0,-9
American Samoa,Guam,1,0,1,0,-6
American Samoa,New Caledonia,1,0,1,0,-5
American Samoa,Northern Mariana Islands,1,0,1,0,-4
American Samoa,Samoa,2,0,2,0,-12
American Samoa,Solomon Islands,2,0,2,0,-24
American Samoa,Tahiti,1,0,1,0,-7
American Samoa,Tonga,1,0,1,0,-4
American Samoa,Tuvalu,1,0,0,1,0
American Samoa,United States Virgin Islands,1,0,1,0,-3
Andorra,Austria,1,0,1,0,-1
Andorra,Belarus,2,0,1,1,-1
Andorra,Bolivia,1,0,1,0,-1
Andorra,Cape Verde,1,0,1,0,-1
Andorra,England,4,0,4,0,-12
Andorra,Estonia,1,0,0,1,0
Andorra,Faroe Islands,2,0,2,0,-3
Andorra,Finland,1,0,1,0,-4
Andorra,France,2,0,2,0,-7
Andorra,Gibraltar,3,0,2,1,-2
Andorra,Grenada,1,1,0,0,1
Andorra,Hungary,2,0,2,0,-4
Andorra,Iceland,2,0,2,0,-4
